2026-03-05 01:36:50.825 CONNECT  Connecting to ws://127.0.0.1:5454
2026-03-05 01:36:50.851 CONNECT  Connected to ws://127.0.0.1:5454
2026-03-05 01:36:50.851 CONFIG   Configuring radio for WWVB 60 kHz reception
2026-03-05 01:36:51.355 CONFIG   Tuned to 60020 Hz | AM | BW: 100 Hz | AGC: off | Antenna: Hi-Z
2026-03-05 01:36:51.355 STREAM   Enabling audio stream...
2026-03-05 01:36:51.355 STREAM   Audio stream enabled. Waiting for data...
2026-03-05 01:36:51.358 SIGNAL   power=-113.2dBm snr=13.3dB
2026-03-05 01:36:51.447 SYNC     Audio data received. Searching for frame sync...
2026-03-05 01:36:51.538 PULSE    pos= 0 sym=0 width=80ms t=0.000s
2026-03-05 01:36:53.184 PULSE    pos= 0 sym=1 width=576ms t=1.188s
2026-03-05 01:36:53.362 SIGNAL   power=-108.0dBm snr=18.9dB
2026-03-05 01:36:54.086 PULSE    pos= 0 sym=1 width=524ms t=2.133s
2026-03-05 01:36:54.992 PULSE    pos= 0 sym=1 width=522ms t=3.078s
2026-03-05 01:36:55.364 SIGNAL   power=-102.9dBm snr=23.7dB
2026-03-05 01:36:56.025 PULSE    pos= 0 sym=1 width=499ms t=4.134s
2026-03-05 01:36:56.832 PULSE    pos= 0 sym=1 width=463ms t=5.034s
2026-03-05 01:36:57.368 SIGNAL   power=-106.7dBm snr=19.9dB
2026-03-05 01:36:57.833 PULSE    pos= 0 sym=M width=586ms t=5.934s
2026-03-05 01:36:58.896 PULSE    pos= 0 sym=1 width=397ms t=7.104s
2026-03-05 01:36:59.373 SIGNAL   power=-107.9dBm snr=18.6dB
2026-03-05 01:36:59.801 PULSE    pos= 0 sym=1 width=457ms t=8.029s
2026-03-05 01:37:00.892 PULSE    pos= 0 sym=M width=583ms t=8.929s
2026-03-05 01:37:01.376 SIGNAL   power=-110.1dBm snr=16.3dB
2026-03-05 01:37:01.741 PULSE    pos= 0 sym=1 width=543ms t=9.924s
2026-03-05 01:37:02.646 PULSE    pos= 0 sym=1 width=551ms t=10.868s
2026-03-05 01:37:03.381 SIGNAL   power=-112.0dBm snr=14.6dB
2026-03-05 01:37:03.762 PULSE    pos= 0 sym=M width=672ms t=11.768s
2026-03-05 01:37:04.486 PULSE    pos= 0 sym=1 width=572ms t=12.668s
2026-03-05 01:37:05.383 SIGNAL   power=-118.5dBm snr=8.0dB
2026-03-05 01:37:05.508 PULSE    pos= 0 sym=M width=663ms t=13.568s
2026-03-05 01:37:06.508 PULSE    pos= 0 sym=M width=640ms t=14.564s
2026-03-05 01:37:07.386 SIGNAL   power=-114.0dBm snr=12.3dB
2026-03-05 01:37:07.474 PULSE    pos= 0 sym=M width=725ms t=15.510s
2026-03-05 01:37:07.474 SYNC     Found 1 of 2 consecutive markers (725ms)
2026-03-05 01:37:08.448 PULSE    pos= 0 sym=M width=835ms t=16.419s
2026-03-05 01:37:08.448 SYNC     Frame sync acquired
2026-03-05 01:37:09.251 PULSE    pos= 1 sym=M width=619ms t=17.454s
2026-03-05 01:37:09.389 SIGNAL   power=-107.4dBm snr=19.1dB
2026-03-05 01:37:10.701 PULSE    pos= 2 sym=? width=1101ms t=18.503s
2026-03-05 01:37:11.114 PULSE    pos= 3 sym=0 width=294ms t=19.605s
2026-03-05 01:37:11.392 SIGNAL   power=-107.0dBm snr=19.6dB
2026-03-05 01:37:12.016 PULSE    pos= 4 sym=1 width=400ms t=20.505s
2026-03-05 01:37:12.859 PULSE    pos= 5 sym=1 width=350ms t=21.405s
2026-03-05 01:37:13.395 SIGNAL   power=-111.3dBm snr=15.2dB
2026-03-05 01:37:13.959 PULSE    pos= 6 sym=1 width=440ms t=22.415s
2026-03-05 01:37:14.957 PULSE    pos= 7 sym=1 width=551ms t=23.315s
2026-03-05 01:37:15.400 SIGNAL   power=-111.3dBm snr=15.0dB
2026-03-05 01:37:15.709 PULSE    pos= 8 sym=1 width=421ms t=24.245s
2026-03-05 01:37:16.731 PULSE    pos= 9 sym=1 width=443ms t=25.178s
2026-03-05 01:37:17.404 SIGNAL   power=-111.2dBm snr=15.5dB
2026-03-05 01:37:17.769 PULSE    pos=10 sym=1 width=543ms t=26.197s
2026-03-05 01:37:18.768 PULSE    pos=11 sym=M width=619ms t=27.097s
2026-03-05 01:37:19.408 SIGNAL   power=-114.4dBm snr=12.4dB
2026-03-05 01:37:19.467 PULSE    pos=12 sym=1 width=431ms t=27.997s
2026-03-05 01:37:20.608 PULSE    pos=13 sym=M width=701ms t=28.897s
2026-03-05 01:37:21.407 PULSE    pos=14 sym=M width=653ms t=29.832s
2026-03-05 01:37:21.410 SIGNAL   power=-111.6dBm snr=15.3dB
2026-03-05 01:37:22.213 PULSE    pos=15 sym=1 width=556ms t=30.732s
2026-03-05 01:37:23.213 PULSE    pos=16 sym=1 width=556ms t=31.642s
2026-03-05 01:37:23.414 SIGNAL   power=-107.7dBm snr=19.1dB
2026-03-05 01:37:23.767 PULSE    pos=17 sym=1 width=350ms t=32.545s
2026-03-05 01:37:25.180 PULSE    pos=18 sym=1 width=549ms t=33.626s
2026-03-05 01:37:25.416 SIGNAL   power=-110.2dBm snr=16.6dB
2026-03-05 01:37:25.984 PULSE    pos=19 sym=1 width=489ms t=34.526s
2026-03-05 01:37:27.022 PULSE    pos=20 sym=M width=667ms t=35.479s
2026-03-05 01:37:27.419 SIGNAL   power=-113.0dBm snr=13.5dB
2026-03-05 01:37:28.220 PULSE    pos=21 sym=? width=1101ms t=36.379s
2026-03-05 01:37:28.507 PULSE    pos=22 sym=0 width=159ms t=37.481s
2026-03-05 01:37:29.421 SIGNAL   power=-115.8dBm snr=10.9dB
2026-03-05 01:37:29.773 PULSE    pos=23 sym=1 width=545ms t=38.381s
2026-03-05 01:37:30.678 PULSE    pos=24 sym=1 width=578ms t=39.281s
2026-03-05 01:37:31.424 SIGNAL   power=-111.9dBm snr=15.0dB
2026-03-05 01:37:31.634 PULSE    pos=25 sym=1 width=557ms t=40.289s
2026-03-05 01:37:32.534 PULSE    pos=26 sym=1 width=566ms t=41.189s
2026-03-05 01:37:33.427 SIGNAL   power=-110.1dBm snr=16.6dB
2026-03-05 01:37:33.533 PULSE    pos=27 sym=M width=585ms t=42.136s
2026-03-05 01:37:34.472 PULSE    pos=28 sym=M width=595ms t=43.071s
2026-03-05 01:37:35.379 PULSE    pos=29 sym=1 width=507ms t=44.157s
2026-03-05 01:37:35.430 SIGNAL   power=-110.6dBm snr=16.1dB
2026-03-05 01:37:36.380 PULSE    pos=30 sym=1 width=561ms t=45.057s
2026-03-05 01:37:37.146 PULSE    pos=31 sym=1 width=479ms t=45.981s
2026-03-05 01:37:37.434 SIGNAL   power=-106.1dBm snr=20.4dB
2026-03-05 01:37:38.222 PULSE    pos=32 sym=1 width=506ms t=47.057s
2026-03-05 01:37:38.737 PULSE    pos=33 sym=0 width=81ms t=47.957s
2026-03-05 01:37:39.438 SIGNAL   power=-110.4dBm snr=16.3dB
2026-03-05 01:37:40.587 PULSE    pos=34 sym=? width=1101ms t=48.949s
2026-03-05 01:37:41.442 SIGNAL   power=-110.6dBm snr=16.2dB
2026-03-05 01:37:41.793 PULSE    pos=35 sym=? width=1101ms t=50.054s
2026-03-05 01:37:42.536 PULSE    pos=36 sym=M width=727ms t=51.156s
2026-03-05 01:37:43.250 PULSE    pos=37 sym=1 width=523ms t=52.153s
2026-03-05 01:37:43.444 SIGNAL   power=-108.4dBm snr=18.0dB
2026-03-05 01:37:43.736 PULSE    pos=38 sym=0 width=137ms t=53.053s
2026-03-05 01:37:45.282 PULSE    pos=39 sym=1 width=508ms t=54.178s
2026-03-05 01:37:45.452 SIGNAL   power=-107.3dBm snr=19.4dB
2026-03-05 01:37:46.092 PULSE    pos=40 sym=1 width=357ms t=55.228s
2026-03-05 01:37:47.196 PULSE    pos=41 sym=1 width=462ms t=56.193s
2026-03-05 01:37:47.455 SIGNAL   power=-107.5dBm snr=19.3dB
2026-03-05 01:37:47.957 PULSE    pos=42 sym=0 width=126ms t=57.301s
2026-03-05 01:37:49.032 PULSE    pos=43 sym=0 width=299ms t=58.201s
2026-03-05 01:37:49.458 SIGNAL   power=-113.3dBm snr=13.4dB
2026-03-05 01:37:49.837 PULSE    pos=44 sym=0 width=253ms t=59.112s
2026-03-05 01:37:50.900 PULSE    pos=45 sym=1 width=382ms t=60.064s
2026-03-05 01:37:51.462 SIGNAL   power=-107.4dBm snr=19.3dB
2026-03-05 01:37:51.988 PULSE    pos=46 sym=1 width=465ms t=61.011s
2026-03-05 01:37:52.892 PULSE    pos=47 sym=1 width=406ms t=61.991s
2026-03-05 01:37:53.468 SIGNAL   power=-111.1dBm snr=15.6dB
2026-03-05 01:37:53.958 PULSE    pos=48 sym=M width=651ms t=62.891s
2026-03-05 01:37:54.865 PULSE    pos=49 sym=1 width=553ms t=63.896s
2026-03-05 01:37:55.470 SIGNAL   power=-116.8dBm snr=9.9dB
2026-03-05 01:37:55.863 PULSE    pos=50 sym=M width=656ms t=64.796s
2026-03-05 01:37:56.802 PULSE    pos=51 sym=M width=614ms t=65.794s
2026-03-05 01:37:57.474 SIGNAL   power=-114.3dBm snr=12.7dB
2026-03-05 01:37:58.186 PULSE    pos=52 sym=? width=1101ms t=66.802s
2026-03-05 01:37:59.251 PULSE    pos=53 sym=? width=990ms t=67.904s
2026-03-05 01:37:59.477 SIGNAL   power=-112.8dBm snr=13.8dB
2026-03-05 01:38:00.154 PULSE    pos=54 sym=M width=737ms t=69.039s
2026-03-05 01:38:01.158 PULSE    pos=55 sym=M width=709ms t=70.091s
2026-03-05 01:38:01.479 SIGNAL   power=-111.9dBm snr=14.9dB
2026-03-05 01:38:01.897 PULSE    pos=56 sym=1 width=552ms t=71.008s
2026-03-05 01:38:03.211 PULSE    pos=57 sym=? width=1101ms t=71.908s
2026-03-05 01:38:03.484 SIGNAL   power=-114.1dBm snr=12.4dB
2026-03-05 01:38:03.900 PULSE    pos=58 sym=1 width=552ms t=73.010s
2026-03-05 01:38:04.762 PULSE    pos=59 sym=M width=580ms t=73.910s
2026-03-05 01:38:04.764 ERROR    Frame error: Too many errors (12): missing markers at [49, 19, 39, 9, 29]
2026-03-05 01:38:04.765 SYNC     Sync lost. Resyncing...
2026-03-05 01:38:05.487 SIGNAL   power=-111.5dBm snr=15.3dB
2026-03-05 01:38:05.666 PULSE    pos= 0 sym=M width=654ms t=74.810s
2026-03-05 01:38:06.252 PULSE    pos= 0 sym=0 width=162ms t=75.820s
2026-03-05 01:38:07.492 SIGNAL   power=-111.2dBm snr=15.3dB
2026-03-05 01:38:07.620 PULSE    pos= 0 sym=M width=741ms t=76.720s
2026-03-05 01:38:07.620 SYNC     Found 1 of 2 consecutive markers (741ms)
2026-03-05 01:38:08.604 PULSE    pos= 0 sym=M width=720ms t=77.708s
2026-03-05 01:38:08.605 SYNC     Frame sync acquired
2026-03-05 01:38:08.901 PULSE    pos= 1 sym=0 width=113ms t=78.608s
2026-03-05 01:38:09.496 SIGNAL   power=-113.4dBm snr=13.1dB
2026-03-05 01:38:10.468 PULSE    pos= 2 sym=1 width=517ms t=79.785s
2026-03-05 01:38:11.369 PULSE    pos= 3 sym=1 width=499ms t=80.685s
2026-03-05 01:38:11.499 SIGNAL   power=-111.1dBm snr=15.6dB
2026-03-05 01:38:12.262 PULSE    pos= 4 sym=1 width=501ms t=81.641s
2026-03-05 01:38:12.816 PULSE    pos= 5 sym=0 width=165ms t=82.541s
2026-03-05 01:38:13.502 SIGNAL   power=-110.2dBm snr=16.7dB
2026-03-05 01:38:14.517 GAPFILL  pos= 6 sym=? (missed pulse)
2026-03-05 01:38:14.517 PULSE    pos= 7 sym=0 width=61ms t=84.341s
2026-03-05 01:38:15.472 PULSE    pos= 8 sym=0 width=121ms t=85.241s
2026-03-05 01:38:15.504 SIGNAL   power=-106.5dBm snr=20.2dB
2026-03-05 01:38:16.467 PULSE    pos= 9 sym=0 width=287ms t=86.141s
2026-03-05 01:38:17.508 SIGNAL   power=-107.3dBm snr=18.9dB
2026-03-05 01:38:17.569 PULSE    pos=10 sym=1 width=428ms t=87.041s
2026-03-05 01:38:18.317 PULSE    pos=11 sym=0 width=302ms t=87.941s
2026-03-05 01:38:19.223 PULSE    pos=12 sym=1 width=403ms t=88.841s
2026-03-05 01:38:19.511 SIGNAL   power=-108.9dBm snr=17.8dB
2026-03-05 01:38:20.221 PULSE    pos=13 sym=1 width=448ms t=89.754s
2026-03-05 01:38:21.278 PULSE    pos=14 sym=1 width=503ms t=90.760s
